pixel x;pixel y;field x;field y
293;140;80;80
318;153;80;40
350;170;80;0
380;188;80;-40
400;205;80;-80
272;160;40;80
300;172;40;40
338;188;40;0
370;214;40;-40
393;233;40;-80
251;191;0;80
274;204;0;40
315;227;0;0
354;253;0;-40
381;269;0;-80
234;227;-40;80
256;244;-40;40
288;270;-40;0
328;289;-40;-40
367;306;-40;-80
225;250;-80;80
246;271;-80;40
279;291;-80;0
310;308;-80;-40
347;330;-80;-80
