pixel x;pixel y;field x;field y
293;140;100;100
318;153;100;50
350;170;100;0
380;188;100;-50
400;205;100;-100
272;160;50;100
300;172;50;50
338;188;50;0
370;214;50;-50
393;233;50;-100
251;191;0;100
274;204;0;50
315;227;0;0
354;253;0;-50
381;269;0;-100
234;227;-50;100
256;244;-50;50
288;270;-50;0
328;289;-50;-50
367;306;-50;-100
225;250;-100;100
246;271;-100;50
279;291;-100;0
310;308;-100;-50
347;330;-100;-100
